Year,Commodity,Crop,Area,Export,IDR,Import,Production,SSR,Yield
2010,Vegetables,Chilli,6985,8,19,1613,6696,81,959
2010,Spices,Garlic,881,0,2,9,485,98,551
2010,Spices,Ginger,2168,1108,0,5,4074,137,1879
2010,Legumes and Pulses,Kidney bean,1362,64,0,0,471,116,346
2010,Legumes and Pulses,Lentil,252,49,100,1534,51,3,202
2010,Cereals,Maize,61476,0,10,6658,57663,90,938
2010,Fruits and Nuts,Mandarin,1575133,22484,0,31,52621,174,33
2010,Legumes and Pulses,Mungbean,654,0,0,0,319,100,488
2010,Cereals,Mustard,3106,7,73,1165,1332,28,429
2010,Vegetables,Potato,9266,18745,14,4019,44014,150,4750
2010,Cereals,Rice,56375,375,53,51967,71637,47,1271
2010,Legumes and Pulses,Soya bean,1354,19,78,1384,402,23,297
2010,Plantation,Tapioca,629,0,0,0,537,100,854
2010,Vegetables,Tomato,212,0,90,2055,223,10,1052
2010,Cereals,Wheat,5565,532,64,7709,4873,40,876
2011,Fruits and Nuts,Apple,557780,5764,0,24,20752,138,37
2011,Plantation,Areca nut,846507,2541,4,271,9781,130,12
2011,Vegetables,Beans,2421,4,7,158,2111,93,872
2011,Cereals,Buckwheat,10547,1,0,16,8377,100,794
2011,Vegetables,Bulb Onion,782,0,86,1786,285,14,364
2011,Vegetables,Cabbage,3138,705,49,1380,2130,76,679
2011,Spices,Cardamom,4144,427,1,1,650,290,157
2011,Vegetables,Cauliflower,3138,3,28,811,2130,72,679
2011,Vegetables,Chilli,11079,14,38,4905,8121,62,733
2011,Spices,Garlic,1433,0,2,10,584,98,408
2011,Spices,Ginger,3363,1272,0,11,4533,139,1348
2011,Legumes and Pulses,Kidney bean,1124,41,0,1,873,105,777
2011,Legumes and Pulses,Lentil,101,86,102,1601,58,4,574
2011,Cereals,Maize,70312,0,11,9671,79827,89,1135
2011,Fruits and Nuts,Mandarin,1719637,18928,0,50,60993,145,35
2011,Legumes and Pulses,Mungbean,718,0,0,0,579,100,806
2011,Cereals,Mustard,3101,17,62,1244,2344,39,756
2011,Vegetables,Potato,15609,24485,16,5206,52116,159,3339
2011,Cereals,Rice,59609,80,51,53964,78730,49,1321
2011,Legumes and Pulses,Soya bean,1302,5,43,626,826,57,634
2011,Plantation,Tapioca,435,0,0,0,449,100,1031
2011,Vegetables,Tomato,440,0,79,2044,559,21,1270
2011,Cereals,Wheat,5802,8297,106,20324,6266,18,1080
2012,Fruits and Nuts,Apple,243967,3410,1,43,7666,178,31
2012,Plantation,Areca nut,673464,4494,8,279,7788,218,12
2012,Vegetables,Beans,2835,43,8,220,2479,93,874
2012,Cereals,Buckwheat,6851,2,8,352,4303,92,628
2012,Vegetables,Bulb Onion,493,0,93,3409,264,7,535
2012,Vegetables,Cabbage,2677,1057,37,1404,3413,91,1275
2012,Spices,Cardamom,5084,619,9,2,643,2440,126
2012,Vegetables,Cauliflower,737,4,51,873,829,49,1125
2012,Vegetables,Chilli,7797,90,23,2287,7726,78,991
2012,Spices,Garlic,1273,0,6,39,644,94,506
2012,Spices,Ginger,1985,1448,0,2,5014,141,2526
2012,Legumes and Pulses,Kidney bean,1150,17,0,2,514,103,447
2012,Legumes and Pulses,Lentil,60,85,102,2970,19,1,317
2012,Cereals,Maize,63488,0,20,17967,73024,80,1150
2012,Fruits and Nuts,Mandarin,1104891,24432,0,82,49501,197,45
2012,Legumes and Pulses,Mungbean,365,2,0,0,165,101,452
2012,Cereals,Mustard,2687,5,85,1489,790,15,294
2012,Vegetables,Potato,12548,19059,18,5284,43000,147,3427
2012,Cereals,Rice,52252,60,51,53400,78014,49,1493
2012,Legumes and Pulses,Soya bean,979,1,35,160,294,65,300
